Area,Item,Year,Area_Harvested_ha,Production_ton,Yield_kg_ha
Algeria,Mushrooms and truffles,2023,171281.03645017848,1196.49,12705.65079886103
Algeria,Oats,2019,77626.0,101305.0,1305.0
Algeria,Oats,2020,62353.0,69385.0,1112.8
Algeria,Oats,2021,43274.0,40461.0,935.0
Algeria,Oats,2022,80000.0,81000.0,1012.5
Algeria,Oats,2023,80000.0,76000.0,950.0
Algeria,Olives,2019,431506.0,868754.0,2013.3
Algeria,Olives,2020,438828.0,1079508.0,2460.0
Algeria,Olives,2021,440008.0,704619.0,1601.4
Algeria,Olives,2022,469380.0,847031.81,1804.6
Algeria,Olives,2023,482055.0,904013.51,1875.3
Algeria,Oranges,2019,46081.0,1199535.0,26031.0
Algeria,Oranges,2020,46648.0,1174845.2,25185.3
Algeria,Oranges,2021,47269.0,1137191.0,24057.7
Algeria,Oranges,2022,49366.0,1245387.71,25227.7
Algeria,Oranges,2023,52041.0,1359555.74,26124.7
Algeria,Pears,2019,20240.0,223467.0,11040.9
Algeria,Pears,2020,19979.0,154860.5,7751.2
Algeria,Pears,2021,18704.0,149780.0,8008.1
Algeria,Pears,2022,20317.0,170989.82,8416.2
Algeria,Pears,2023,19281.0,170054.71,8819.8
Algeria,"Peas, dry",2019,9952.0,12125.0,1218.3
Algeria,"Peas, dry",2020,9535.0,11026.8,1156.5
Algeria,"Peas, dry",2021,9785.0,8269.0,845.1
Algeria,"Peas, dry",2022,9635.0,9733.79,1010.2
Algeria,"Peas, dry",2023,10258.0,11402.39,1111.6
Algeria,"Peas, green",2019,38959.0,200025.0,5134.2
Algeria,"Peas, green",2020,39542.0,209409.4,5295.8
Algeria,"Peas, green",2021,35936.0,204415.0,5688.3
